% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 29.68    1.854317       48797        38           epoll_pwait
 29.65    1.852625        3757       493        17 futex
 26.68    1.666801         206      8086           nanosleep
 13.66    0.853357          20     41994         1 write
  0.15    0.009520          44       216           tgkill
  0.11    0.006796          31       216           getpid
  0.04    0.002300          10       216           rt_sigreturn
  0.02    0.001144          22        50        16 read
  0.00    0.000255          25        10           setsockopt
  0.00    0.000214         214         1           restart_syscall
  0.00    0.000178          44         4           epoll_ctl
  0.00    0.000113          56         2           close
  0.00    0.000092          30         3         1 accept4
  0.00    0.000061          30         2           getsockname
------ ----------- ----------- --------- --------- ----------------
100.00    6.247773         121     51331        35 total
