% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 51.32    4.666891        6181       755        65 futex
 22.64    2.058655         198     10359           nanosleep
 15.29    1.390719          34     40454           write
 10.42    0.947374          22     41364       875 read
  0.25    0.022563          43       518         2 epoll_pwait
  0.02    0.001563          34        45           setsockopt
  0.01    0.001194          42        28           tgkill
  0.01    0.000808          28        28         3 rt_sigreturn
  0.01    0.000744          26        28           getpid
  0.01    0.000592          32        18           epoll_ctl
  0.01    0.000585          58        10         1 accept4
  0.01    0.000548          20        27           sched_yield
  0.01    0.000517          34        15           mmap
  0.00    0.000352          39         9           close
  0.00    0.000254          28         9           getsockname
  0.00    0.000109         109         1         1 restart_syscall
  0.00    0.000000           0         2           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         6           rt_sigprocmask
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
  0.00    0.000000           0         1           clone3
------ ----------- ----------- --------- --------- ----------------
100.00    9.093468          97     93683       947 total
