% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 35.61    2.427560        3999       607       131 futex
 32.98    2.248679        2273       989           nanosleep
 21.13    1.440310          28     50812           write
  9.63    0.656806          22     29374      3915 read
  0.51    0.034779          29      1187           epoll_pwait
  0.03    0.002160          21       101           sched_yield
  0.02    0.001445          36        40           tgkill
  0.02    0.001142          49        23           madvise
  0.02    0.001122          24        45           setsockopt
  0.01    0.000977          24        40           getpid
  0.01    0.000848          21        40         1 rt_sigreturn
  0.01    0.000466          38        12           mmap
  0.01    0.000407          45         9           close
  0.00    0.000334          18        18           epoll_ctl
  0.00    0.000305          30        10         1 accept4
  0.00    0.000133         133         1           restart_syscall
  0.00    0.000129          14         9           getsockname
  0.00    0.000105          17         6           rt_sigprocmask
  0.00    0.000102         102         1           clone3
  0.00    0.000011           5         2           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    6.817820          81     83332      4048 total
